d_carbon;d_nitrogen;sex;season;year
-17.6142;11.9042;Female;Non-breeding;2015
-17.1881;11.4063;Male;Non-breeding;2015
-17.2727;11.4396;Male;Non-breeding;2015
-17.6933;11.7433;Female;Non-breeding;2015
-17.3269;11.1607;Female;Non-breeding;2015
-18.1159;11.4647;Male;Non-breeding;2015
-16.7164;11.4428;Female;Non-breeding;2015
-16.78;11.60;Female;Non-breeding;2016
-17.05;11.34;Male;Non-breeding;2016
-17.02;11.77;Male;Non-breeding;2016
-17.00;11.39;Female;Non-breeding;2016
-17.31;11.62;Male;Non-breeding;2016
-17.18;11.24;Male;Non-breeding;2016
-17.01;11.31;Male;Non-breeding;2016
-17.20;11.59;Male;Non-breeding;2016
-16.90;11.18;Female;Non-breeding;2016
-17.09;11.51;Female;Non-breeding;2016
-17.01;11.10;Female;Non-breeding;2016
-17.04;11.65;Female;Non-breeding;2016
-16.95;11.43;Female;Non-breeding;2016
-16.97;11.72;Female;Non-breeding;2016
-16.83;11.09;Female;Non-breeding;2016
-17.09;11.36;Male;Non-breeding;2016
-17.13;11.64;Male;Non-breeding;2016
-17.02;11.68;Male;Non-breeding;2016
-17.08;11.42;Female;Non-breeding;2016
-16.98;11.33;Male;Non-breeding;2016
-16.5195719030603;10.4273139193449;Male;Breeding;2017
-16.5313412738369;10.1310313071785;Male;Breeding;2017
-16.5650047406879;10.1216647530565;Male;Breeding;2017
-16.4298692692959;10.0465248897681;Female;Breeding;2017
-16.5421973284263;10.423118916093;Male;Breeding;2017
-16.667785244871;10.3512716633719;Male;Breeding;2017
-16.5298330635147;10.8911954480651;Male;Breeding;2017
-16.5470495967624;10.5414212878285;Female;Breeding;2017
-16.5949974082941;10.552031044024;Male;Breeding;2017
-16.6008169117447;10.412513082432;Female;Breeding;2017
-16.5361308608868;10.4214011889162;Female;Breeding;2017
-16.4376215950427;10.3303368126736;Male;Breeding;2017
-16.5487436070457;10.4944723121844;Female;Breeding;2017
-16.5858114235049;10.3439249576387;Female;Breeding;2017
-16.5455918392737;10.3177484994772;Male;Breeding;2017
-16.7316335947559;10.4037418104037;Male;Breeding;2017
-16.796487898435;10.8087556995798;Female;Breeding;2017
-16.5739772107152;10.0729231338148;Male;Breeding;2017
-16.661502853101;10.5599152319258;Female;Breeding;2017
-16.6344383910952;10.4094102589401;Male;Breeding;2017
-16.5306530573668;10.8382086017595;Female;Breeding;2017
-16.5425503464587;10.2935793967927;Male;Breeding;2017
-16.6101411024717;10.2087359526407;Male;Breeding;2017
-16.6816458445975;10.2625342724468;Male;Breeding;2017
-16.6527709975354;10.4472724435261;Male;Breeding;2017
-16.6888496394949;10.2708660077128;Male;Breeding;2017
-16.7149369621378;10.2054626971757;Male;Breeding;2017
-16.6644288996161;10.3617675948499;Male;Breeding;2017
-16.7090504497208;10.4101021111289;Male;Breeding;2017
-16.5860792105619;10.1781506547941;Male;Breeding;2017
-17.0124698070938;10.4285237195719;Female;Breeding;2018
-16.9336559078978;10.7079032006307;Female;Breeding;2018
-17.1072621809915;10.5593732970509;Female;Breeding;2018
-16.8641284573143;10.5308137443877;Male;Breeding;2018
-16.747997018152;10.4267162672727;Female;Breeding;2018
-16.9749739825077;10.2842856018464;Female;Breeding;2018
-16.8969917569605;10.6584860522307;Female;Breeding;2018
-16.9842481921353;10.5464917845261;Male;Breeding;2018
-16.8802908109208;10.6689272998494;Female;Breeding;2018
-17.0225687002364;11.39864935403;Male;Non-breeding;2018
-17.096919752052;11.1423832035918;Male;Non-breeding;2018
-16.8836908223371;11.4192790960899;Female;Non-breeding;2018
-16.9583143521026;11.2063261554348;Male;Non-breeding;2018
-17.1286265524322;11.4471970037188;Female;Non-breeding;2018
-17.0510334929148;11.1666323035036;Male;Non-breeding;2018
-17.2290793693465;10.9886268237424;Male;Non-breeding;2018
-16.7440689053867;11.4766110981165;Female;Non-breeding;2018
-17.2881500890885;10.7537169242066;Male;Non-breeding;2018
-16.9644813566734;11.3901400665205;Female;Non-breeding;2018
