species;d_carbon;d_nitrogen;season;year;fork
Squid;-19.4447;7.74667;Non-breeding;2015;NA
Squid;-18.5632;8.70979;Non-breeding;2015;NA
Squid;-18.5376;9.62439;Non-breeding;2015;NA
Squid;-19.8352;7.82025;Non-breeding;2015;NA
Exocoetidae;-17.52;7.85;Non-breeding;2016;45
Exocoetidae;-18.83;8.35;Non-breeding;2016;45
Exocoetidae;-18.05;8.20;Non-breeding;2016;65
Exocoetidae;-17.93;9.29;Non-breeding;2016;65
Exocoetidae;-18.06;8.32;Non-breeding;2016;75
Exocoetidae;-18.33;8.28;Non-breeding;2016;110
Exocoetidae;-17.92;9.84;Non-breeding;2016;110
Exocoetidae;-17.49;9.95;Non-breeding;2016;115
Exocoetidae;-17.53;8.31;Non-breeding;2016;115
Exocoetidae;-17.89;10.82;Non-breeding;2016;120
Exocoetidae;-17.69;10.14;Non-breeding;2016;120
Exocoetidae;-17.40;7.73;Non-breeding;2016;120
Exocoetidae;-17.82;9.24;Non-breeding;2016;130
Exocoetidae;-17.96;8.38;Non-breeding;2016;130
Exocoetidae;-17.69;8.68;Non-breeding;2016;130
Carangidae;-17.91;9.00;Non-breeding;2016;130
Exocoetidae;-17.58;8.96;Non-breeding;2016;135
Exocoetidae;-17.73;8.69;Non-breeding;2016;135
Exocoetidae;-17.53;8.27;Non-breeding;2016;140
Exocoetidae;-17.47;8.46;Non-breeding;2016;140
Exocoetidae;-17.73;11.57;Non-breeding;2016;145
Exocoetidae;-17.44;10.77;Non-breeding;2016;150
Exocoetidae;-17.25;10.22;Non-breeding;2016;150
Exocoetidae;-17.80;7.78;Non-breeding;2016;150
Exocoetidae;-17.51;12.13;Non-breeding;2016;150
Exocoetidae;-17.67;9.13;Non-breeding;2016;150
Exocoetidae;-17.79;12.07;Non-breeding;2016;160
Exocoetidae;-17.74;9.33;Non-breeding;2016;165
Exocoetidae;-17.64;8.08;Non-breeding;2016;165
Exocoetidae;-17.33;9.26;Non-breeding;2016;170
Exocoetidae;-17.34;8.60;Non-breeding;2016;170
Exocoetidae;-16.90;7.70;Non-breeding;2016;170
Exocoetidae;-17.35;8.96;Non-breeding;2016;180
Exocoetidae;-17.37;11.12;Non-breeding;2016;180
Exocoetidae;-17.38;8.78;Non-breeding;2016;190
Exocoetidae;-17.59;9.76;Non-breeding;2016;190
Exocoetidae;-17.50;9.64;Non-breeding;2016;200
Exocoetidae;-17.56;8.43;Non-breeding;2016;200
Exocoetidae;-17.53;8.65;Non-breeding;2016;200
Exocoetidae;-17.77;8.36;Non-breeding;2016;200
Exocoetidae;-18.14;8.95;Non-breeding;2016;205
Exocoetidae;-17.48;9.01;Non-breeding;2016;210
Hemiramphidae;-17.63;8.83;Non-breeding;2016;220
Exocoetidae;-17.33;9.31;Non-breeding;2016;220
Hemiramphidae;-17.40;7.71;Non-breeding;2016;230
Hemiramphidae;-17.60;8.76;Non-breeding;2016;260
Exocoetidae;-17.53;11.48;Non-breeding;2016;NA
Exocoetidae;-17.59;10.85;Non-breeding;2016;NA
Exocoetidae;-17.65;9.78;Non-breeding;2016;NA
Exocoetidae;-18.79;7.84;Non-breeding;2016;NA
Exocoetidae;-18.81;10.31;Non-breeding;2016;NA
Exocoetidae;-17.10;10.10;Non-breeding;2016;NA
Exocoetidae;-18.02;8.97;Non-breeding;2016;NA
Exocoetidae;-18.20;8.96;Non-breeding;2016;NA
