id,year,sex,trip,tdr,duration,distance,range_max,prop_time_diving,straightness_index
F0417_10_SD,2017,F,1,1,229.25,125.81314433420319,43.1231840932149,0.015250544662309368,0.7809124225021189
F0417_11_SD,2017,F,1,1,190.0,111.76235342270711,38.980528966995536,0.023653088042049936,0.5699025671603672
F0417_11_SD,2017,F,2,1,533.5,209.62639351004324,61.506329134418344,0.012646370023419205,0.937555867364488
F0417_12_SD,2017,M,1,1,284.25,77.07603977886839,30.44249827351972,0.005272407732864675,0.7642498324411273
F0417_13_SD,2017,F,1,1,261.5,145.8720195324549,59.174144174245846,0.012416427889207259,0.8066103093067408
F0417_13_SD,2017,F,2,1,42.25,31.26485871621391,13.220316455691533,0.011764705882352941,0.832244827422236
F0417_13_SD,2017,F,3,1,497.75,240.66258185294572,80.03081523600193,0.020582329317269075,0.6877494861756888
F0417_14_SD,2017,F,1,1,177.0,104.4506005707032,38.86349791352811,0.014104372355430184,0.7103666675495468
F0417_14_SD,2017,F,2,1,532.25,224.82713411976243,68.43718105939524,0.009859154929577466,0.4745693480173749
F0417_15_SD,2017,M,1,0,134.0,58.19122293347832,13.322314201676653,0.027932960893854747,0.32201232610038427
F0417_15_SD,2017,M,2,0,300.75,118.64471539920346,34.246398596183,0.030730897009966777,0.4422630403970132
F0417_16_SD,2017,M,1,1,651.5,294.22590791156443,111.0432304922269,0.004602991944764097,0.7060130090385537
F0417_16_SD,2017,M,2,1,595.75,297.1449865174485,120.76361803341048,0.012583892617449664,0.7423665518667181
F0417_16_SD,2017,M,3,1,580.75,251.98290238621564,103.13110676130222,0.016781411359724614,0.7373774684113855
F0417_17_SD,2017,F,1,1,336.0,171.35352437041402,70.30790241883754,0.026022304832713755,0.9182558615145537
F0417_17_SD,2017,F,2,1,412.0,227.364226317506,91.81976050946857,0.012734990903577926,0.7355720357592569
F0417_18_SD,2017,M,1,0,120.0,45.71100458353377,16.359417809302734,0.014553014553014554,0.8678056264018033
F0417_18_SD,2017,M,2,0,215.25,102.39225405373018,39.78518394217683,0.03480278422273782,0.6930196208557894
F0417_18_SD,2017,M,3,0,275.5,99.7643274896781,35.24240769313784,0.004533091568449683,0.5903556595771094
F0417_19_SD,2017,F,1,0,454.0,238.70438041600332,86.14324193668773,0.020363236103467255,0.8917006547307829
F0417_19_SD,2017,F,2,0,655.5,333.38618990047485,117.90588997977703,0.020968356843309187,0.5843668476738461
F0417_19_SD,2017,F,3,0,345.25,133.2210647134121,102.77111576637252,0.023878437047756874,0.7857531371368351
F0417_1_SD,2017,M,1,0,85.0,58.04545434444787,17.475009556537913,0.002932551319648094,0.8704530027306228
F0417_20_SD,2017,M,1,0,48.75,31.587453122999754,12.910728133224513,0.02040816326530612,0.7359664952754432
F0417_20_SD,2017,M,2,0,213.25,118.51008081457647,33.81232265329666,0.02107728337236534,0.45957176699136415
F0417_21_SD,2017,F,1,0,331.75,164.59548489615563,70.91448754791746,0.023343373493975902,0.8483840937291902
F0417_21_SD,2017,F,2,0,33.0,16.410843916199426,5.469620624149895,0.0,0.5396471292156862
F0417_21_SD,2017,F,3,0,111.0,57.61665097694568,24.443058357898163,0.020224719101123594,0.965081549778423
F0417_21_SD,2017,F,4,0,222.0,108.70088729729804,40.25188370044513,0.014623172103487065,0.7002806218924656
F0417_22_SD,2017,M,1,0,320.5,153.39247566872962,47.360435486007184,0.02260327357755261,0.8295225857976358
F0417_22_SD,2017,M,2,0,310.75,141.28844226129678,70.31499092563978,0.02572347266881029,0.6929057705135524
F0417_24_SD,2017,M,1,0,138.0,66.3031106103882,27.047936514321595,0.02531645569620253,0.8756901107628213
F0417_24_SD,2017,M,2,1,273.5,152.47087585631277,54.13167992834208,0.025570776255707764,0.6838979527361455
F0417_24_SD,2017,M,3,0,168.5,49.057345449956806,12.617343376728687,0.002962962962962963,0.358329218367518
F0417_24_SD,2017,M,4,1,434.75,220.0288997166196,87.54274598298446,0.016666666666666666,0.7558289586936158
F0417_25_SD,2017,M,1,1,2132.75,395.59052985162026,116.73429481414422,0.018518518518518517,0.3145359571166559
F0417_26_SD,2017,M,1,1,1472.5,349.7311347178389,109.33384220317275,0.004922763537599729,0.788623354407778
F0417_27_SD,2017,M,1,0,524.5,181.83397972672623,58.303035235904666,0.014292520247737018,0.48600140450135254
F0417_28_SD,2017,M,1,0,139.75,66.05193881761218,25.39935392796166,0.025,0.941740603295581
F0417_28_SD,2017,M,2,0,761.0,332.23069279409884,108.92503555451005,0.012807881773399015,0.6803906943692098
F0417_29_SD,2017,M,1,0,532.0,175.05809951862753,47.43077176461206,0.015500234852043212,0.4103997396611569
F0417_2_SD,2017,M,1,0,415.25,210.77732591242588,62.22123301890714,0.018050541516245487,0.524695548066282
F0417_30_SD,2017,M,1,0,344.25,152.43362844483917,42.19499489826504,0.015239477503628448,0.7914430550749977
F0417_3_SD,2017,M,1,0,314.5,124.12010564441407,36.544406693699656,0.008737092930897538,0.6295683219733489
F0417_5_SD,2017,M,1,1,558.0,251.31993305420002,92.50987736702994,0.00850873264666368,0.7577478344642202
F0417_6_SD,2017,M,1,1,339.0,173.16415610257434,71.71946298664918,0.016212232866617538,0.7707238709209256
F0417_7_SD,2017,F,1,0,160.75,125.21152847191348,52.89162706890227,0.004658385093167702,0.7936514844058272
F0417_8_SD,2017,F,1,0,141.0,104.50255438558709,48.633262369985516,0.010619469026548672,0.8936892884263031
F0417_9_SD,2017,F,1,0,1034.5,211.61407830459655,111.56113020197185,0.0067649190625755015,0.5888494039373895
F0418_10_SD,2018,M,1,1,395.75,174.07001916071607,46.296444278218345,0.04040404040404041,0.456286584909445
F0418_11_SD,2018,F,1,1,22.75,9.88965042335479,2.818807861909327,0.010869565217391304,0.46098814733849675
F0418_11_SD,2018,F,2,1,25.0,15.045561321709409,6.017261167670458,0.0297029702970297,0.7808079167034988
F0418_11_SD,2018,F,3,1,43.0,23.569276796543587,4.681968221322065,0.017341040462427744,0.25868285338775704
F0418_12_SD,2018,F,1,0,348.75,144.6432102501139,29.89064451528024,0.0057306590257879654,0.35184065156985833
F0418_12_SD,2018,F,2,0,301.5,148.40778259095717,30.711340287927833,0.009942004971002486,0.34793602100913296
F0418_14_SD,2018,F,1,1,551.5,313.4622119930085,135.33567031202384,0.007249660172179429,0.800744981239205
F0418_14_SD,2018,F,2,1,405.75,151.73921248329793,121.16397257991215,0.020320197044334975,0.8228498099593483
F0418_15_SD,2018,M,1,1,77.5,36.158488972489664,17.537887963758216,0.03858520900321544,0.4850282316028611
F0418_22_SD,2018,M,1,1,2135.0,275.40995399306456,85.705651211793,0.005619950825430277,0.5402493750201032
F0418_23_SD,2018,F,1,1,1494.75,263.3047798519245,91.46670441667159,0.0036789297658862876,0.6337921554920102
F0418_23_SD,2018,F,2,1,720.25,328.4867251902789,138.5661595631909,0.008327550312283136,0.866025408169089
F0418_24_SD,2018,M,1,1,303.5,154.29277827200127,42.22303949688223,0.010699588477366255,0.4925496785691398
F0418_24_SD,2018,M,2,1,299.0,116.22079173523942,23.766409756633948,0.023391812865497075,0.36131147362256266
F0418_25_SD,2018,F,1,1,549.5,328.3248124152792,127.92669494003263,0.010459299681673489,0.6557208061446691
F0418_25_SD,2018,F,2,1,738.0,427.0840942044173,170.74056800158027,0.009820521503555706,0.7393344543663998
F0418_26_SD,2018,F,1,1,351.0,154.16420522214784,36.406358919880134,0.016370106761565837,0.31497237819786156
F0418_26_SD,2018,F,2,1,501.25,240.0030360254275,98.20313202926974,0.004985044865403789,0.8068983223376938
F0418_30_SD,2018,F,1,1,390.75,178.59397358276337,69.44144713092125,0.017902813299232736,0.7656022421903824
F0418_30_SD,2018,F,2,1,62.25,40.243717960286325,11.343846860595203,0.012,0.4899866111698194
F0418_30_SD,2018,F,3,1,503.0,192.30047498457768,69.82814269537124,0.015399900645802286,0.6076818290039973
F0418_30_SD,2018,F,4,0,24.5,7.002590788310433,2.4970928536132937,0.0,0.6483413941858517
F0418_31_SD,2018,F,1,0,561.75,292.458516722838,107.63447147641247,0.011565836298932384,0.7130620686108641
F0418_31_SD,2018,F,2,0,296.25,104.33903745367762,40.701448297960525,0.006745362563237774,0.9518369065044033
F0418_32_SD,2018,F,1,0,147.75,75.04987135374515,28.657099232058975,0.02533783783783784,0.6690884850172295
F0418_32_SD,2018,F,2,0,166.75,111.60826455503319,43.46877043737008,0.029940119760479042,0.845710356149889
F0418_4_SD,2018,M,1,0,437.25,212.86224951442324,71.30882395672636,0.014857142857142857,0.6425736367704403
F0418_4_SD,2018,M,2,0,515.25,191.9845729493486,63.84796063762807,0.006304558680892337,0.806736240285872
F0418_9_SD,2018,F,1,1,305.75,199.56178824769617,81.62657659656786,0.03758169934640523,0.7585751059134387
F0419_10_SD,2019,F,1,0,578.0,210.63066348590638,79.62044691055159,0.009511456982274102,0.7033132329830456
F0419_10_SD,2019,F,2,0,567.75,217.375103424372,67.38661612974647,0.017605633802816902,0.5034146679796468
F0419_10_SD,2019,F,3,0,631.75,204.96428265434466,66.08873851770254,0.006329113924050633,0.8427852338411685
F0419_10_SD,2019,F,4,0,1793.0,374.62251844183936,84.80192150945236,0.006134114038756448,0.6694891902112465
F0419_11_SD,2019,F,1,0,348.0,175.5784552972866,67.0804101119528,0.01507537688442211,0.7778833791955063
F0419_11_SD,2019,F,2,0,217.0,115.3122281118116,41.419919649823925,0.009205983889528193,0.6658520386724981
F0419_11_SD,2019,F,3,0,221.25,105.22202937182955,29.85890738684558,0.02144469525959368,0.4678015077136946
F0419_11_SD,2019,F,4,0,445.75,127.1821891879487,37.42983774252194,0.008408071748878924,0.8835570917575072
F0419_11_SD,2019,F,5,0,423.0,196.57792959900033,77.21003748385405,0.00767867690490254,0.7942961783489453
F0419_11_SD,2019,F,6,0,429.0,140.5789998463562,49.98179678958889,0.0034944670937682005,0.9011282414747338
F0419_12_SD,2019,M,1,0,121.25,58.92914348273,20.674375532711192,0.024691358024691357,0.8515112331843092
F0419_12_SD,2019,M,2,0,231.5,143.65518376960455,49.00664436394355,0.005393743257820928,0.6485833910942055
F0419_12_SD,2019,M,3,0,220.0,109.61290514859414,26.216821110874196,0.012485811577752554,0.5479431378165177
F0419_12_SD,2019,M,4,0,119.0,45.99178706199119,13.866819930435566,0.025157232704402517,0.48179334001274754
F0419_1_SD,2019,M,1,1,537.75,204.58194788015194,53.538939109469744,0.009758364312267658,0.5268475197921176
F0419_1_SD,2019,M,2,1,336.0,111.92722662968356,25.151018255931632,0.012639405204460967,0.6469289235458592
F0419_1_SD,2019,M,3,1,439.5,173.98204348754038,52.853250791008996,0.009664582148948267,0.8730907652467061
F0419_2_SD,2019,F,1,1,922.0,129.26994401930116,12.49739142630509,0.006776904310111141,0.16107530789220278
F0419_2_SD,2019,F,2,1,66.75,35.223721528836855,5.0771036003162395,0.029850746268656716,0.9071946879182546
F0419_2_SD,2019,F,3,1,153.75,96.11097755069306,10.249861035502198,0.00974025974025974,0.32274973363963816
F0419_3_SD,2019,M,1,1,707.0,278.86295484961676,101.52988721927557,0.005655708731000354,0.5944093384993449
F0419_3_SD,2019,M,2,1,3360.75,701.0459017875883,156.6699026431836,0.007512645046117227,0.4393372629371089
F0419_3_SD,2019,M,3,1,398.0,154.76156809429483,35.43200665942505,0.006277463904582548,0.6723305434292769
F0419_3_SD,2019,M,4,1,468.5,182.37855178452935,45.744515957986685,0.026133333333333335,0.4032876409223713
F0419_3_SD,2019,M,5,1,547.5,249.10297529991516,97.91581838320091,0.011410314924691922,0.7851245961304235
F0419_4_SD,2019,M,1,1,788.75,288.64322864369865,109.139874700215,0.010456273764258554,0.7593900004762162
F0419_4_SD,2019,M,2,1,295.75,134.512564423611,46.17135271078305,0.011824324324324325,0.5422988344985517
F0419_4_SD,2019,M,3,1,451.0,196.91812340533093,58.45550741640345,0.017174515235457065,0.4447686667915902
F0419_5_SD,2019,M,1,1,157.0,48.87938880128065,12.51061657989454,0.014308426073131956,0.36235393074316863
F0419_5_SD,2019,M,2,1,657.75,190.30426978366327,60.35501466907613,0.008738601823708206,0.660065808479024
F0419_5_SD,2019,M,3,1,695.0,289.78186443336,111.49279769656572,0.010068320747932399,0.6825030539911862
F0419_6_SD,2019,F,1,0,4.5,2.548125517892545,0.8678082382332744,0.0,0.3405673041377509
F0419_6_SD,2019,F,2,1,281.0,148.06355374660862,60.18696595590944,0.012444444444444444,0.7592721364186906
F0419_6_SD,2019,F,3,1,1043.5,291.2428171487971,190.57974332270004,0.008622754491017964,0.7055736546562189
F0419_7_SD,2019,F,1,1,484.5,182.03504755364452,60.86627667042652,0.007220216606498195,0.9398172070143487
F0419_7_SD,2019,F,2,1,378.0,188.7951308222097,75.76729623570496,0.005948446794448116,0.9207866146789675
F0419_7_SD,2019,F,3,1,1549.75,385.49262776078353,204.449664522106,0.008387096774193548,0.7148173396263043
F0419_8_SD,2019,F,1,1,391.0,142.22741508884175,54.02840564529727,0.0012779552715654952,0.8789605717208876
F0419_8_SD,2019,F,2,0,470.5,130.60710700782315,51.50783794601387,0.004779607010090282,0.771324344851988
F0419_9_SD,2019,F,1,1,663.5,204.50733214879617,58.90667783101317,0.014689265536723164,0.7541804671700523
